interstate,start_measure_m,end_measure_m,gap_length_m,gap_length_mi,is_food_desert,segment_type
I-10,415.81457845065995,416.0609948175018,0.24641636684185642,0.00015311603165131657,False,Served Segment
I-10,416.0609948175018,417.0288993722957,0.967904554793904,0.0006014280071842341,False,Served Segment
I-10,417.0288993722957,417.5885925624485,0.5596931901528137,0.00034777722485237073,False,Served Segment
I-10,417.5885925624485,418.7333576220679,1.144765059619374,0.000711324029927333,False,Served Segment
I-10,418.7333576220679,422.57331480290316,3.839957180835256,0.002386038771595915,False,Served Segment
I-10,422.57331480290316,423.34100039518654,0.7676855922833852,0.0004770177117405509,False,Served Segment
I-10,423.34100039518654,423.90639339146037,0.5653929962738289,0.00035131892017730755,False,Served Segment
I-10,423.90639339146037,425.2700169185433,1.3636235270829502,0.0008473163767864112,False,Served Segment
I-10,425.2700169185433,426.56925721246154,1.299240293918217,0.0008073104904347467,False,Served Segment
I-10,426.56925721246154,427.0675749015535,0.49831768909194807,0.00030964025658401686,False,Served Segment
I-10,427.0675749015535,427.09426930214136,0.026694400587871314,1.6587131519346587e-05,False,Served Segment
I-10,427.09426930214136,431.6108882251274,4.5166189229860265,0.0028064968850575306,False,Served Segment
I-10,431.6108882251274,432.1969646687048,0.5860764435774399,0.0003641710184879304,False,Served Segment
I-10,432.1969646687048,434.64801858716515,2.4510539184603317,0.0015230142955516854,False,Served Segment
I-10,434.64801858716515,443.7826048991757,9.134586312010526,0.005675968787288812,False,Served Segment
I-10,443.7826048991757,447.84671464754047,4.0641097483647854,0.002525320719724798,False,Served Segment
I-10,447.84671464754047,448.48604011289353,0.6393254653530676,0.0003972584266341239,False,Served Segment
I-10,448.48604011289353,451.6051435041157,3.119103391222154,0.0019381209929152214,False,Served Segment
I-10,451.6051435041157,455.7466845662707,4.1415410621549995,0.0025734343074911266,False,Served Segment
